1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC(0.5)
58,Cifar100,FedALA,56,3.348971371852533,0.23555760490086292,0.865246991991009,0.13593783626415737,0.05113467082360982
59,Cifar100,FedALA,57,3.347269159443484,0.2325933732955668,0.8651263149927033,0.13449313828600892,0.05130327418576263
60,Cifar100,FedALA,58,3.3392619198305984,0.2349647585798037,0.8659184586154847,0.13489822715488245,0.05122108451397834
61,Cifar100,FedALA,59,3.33532352273255,0.23588696396811804,0.8664048636392265,0.13574778247124086,0.05074509371004972
62,Cifar100,FedALA,60,3.3317090637745954,0.23503063039325472,0.866279825691925,0.13331324285501464,0.0506810481196964
63,Cifar100,FedALA,61,3.3185783883056628,0.23825834925235492,0.867595419966947,0.13405840746894618,0.049856239405542103
64,Cifar100,FedALA,62,3.311357719589303,0.23839009287925697,0.8679329591629743,0.1341930929064056,0.04991760702191751
65,Cifar100,FedALA,63,3.311463468715788,0.2354917330874119,0.8677523738247428,0.13375328118193008,0.05006803790033378
66,Cifar100,FedALA,64,3.305708757600749,0.23753375930439366,0.8680473264899182,0.13637670190010864,0.05001105441144437
67,Cifar100,FedALA,65,3.299921562581668,0.23997101640208154,0.8685259116070289,0.13531968504059427,0.049658184735430745
68,Cifar100,FedALA,66,3.297632323225617,0.23878532375996311,0.8686798891430685,0.1354008525347933,0.049611133361994735
69,Cifar100,FedALA,67,3.2911601145225733,0.24076147816349383,0.8690250201453444,0.13602787932600532,0.04945432934385485
70,Cifar100,FedALA,68,3.284656535966915,0.2416836835518082,0.8699272423490706,0.1342406014541446,0.0487962902850344
71,Cifar100,FedALA,69,3.2813292664545286,0.2428035043804756,0.8699264519138462,0.13387862941269044,0.04921339325042333
72,Cifar100,FedALA,70,3.2770135124693893,0.24379158158224096,0.8700102495095768,0.13596535198512066,0.04899490650431207
73,Cifar100,FedALA,71,3.273455920685399,0.24398919702259403,0.8700820247068903,0.1360201262827191,0.04900076415047041
