1,clientid,distance,error
11,9,177.27036557616654,[0.001048876880043764]
12,10,178.19314489644913,"[0.0049794903027647166, 0.004121909748365202]"
13,11,174.77462053637896,[0.0028156344791437434]
14,12,171.31149375252784,[]
15,13,180.2943843630986,"[0.00700987922513837, 0.005407567351933692]"
16,14,169.56222181664234,[]
17,15,184.55005558709823,[]
18,16,174.8678682873961,"[0.00261649092621457, 0.002155666737795439]"
19,17,176.52644364632104,"[0.0016184690235908396, 0.0015283568025765057, 0.0014570555644558524]"
20,18,173.30644498313856,"[0.003658747126976558, 0.0028020049525115734]"
21,19,170.56696909020948,"[0.004835711877922691, 0.004452943994945293]"
1,clientid,distance,error
2,0,168.2594959959101,[]
3,1,174.37781668656552,[0.0028675944427064117]
4,2,181.07903904559686,"[0.03560168344294652, 0.0066510778712108734]"
5,3,175.4636486445999,"[0.01125900765618115, 0.009208316787323154]"
6,4,166.78258478912414,"[0.008152581013817878, 0.0071960617306450715, 0.006560392597729127]"
7,5,176.74105245269047,[0.001776145176971961]
8,6,168.78738686567038,"[0.000396186710637011, 0.000364105829749407, 0.0003357113483747355]"
9,7,173.92749948867672,"[0.01489912598341141, 0.013632543771615569]"
10,8,181.35124408069495,"[0.019686816087751476, 0.015820674363661694]"
11,9,177.27036557616654,[0.001816834463728684]
12,10,178.19314489644913,[0.0049794903027647166]
13,11,174.77462053637896,[0.0026767802449857176]
14,12,171.31149375252784,[0.005268250816218576]
15,13,180.2943843630986,"[0.00700987922513837, 0.0035924226768406947]"
16,14,169.56222181664234,[0.007849487736998758]
17,15,184.55005558709823,[0.012683761306107044]
18,16,174.8678682873961,"[0.00283229059063413, 0.002340897748598992]"
19,17,176.52644364632104,"[0.0016184690235908396, 0.0015473272778351223, 0.001482491359077108]"
20,18,173.30644498313856,[0.0033338343022905033]
21,19,170.56696909020948,[]
1,clientid,distance,error
2,0,168.2594959959101,"[0.01602144706652284, 0.013939236871119441, 0.012987119701064828]"
3,1,174.37781668656552,[]
4,2,181.07903904559686,"[0.03560168344294652, 0.006245626051677391]"
5,3,175.4636486445999,"[0.01492205200248335, 0.0097819967863887]"
6,4,166.78258478912414,[0.007254506608086698]
7,5,176.74105245269047,"[0.001776145176971961, 0.0012966441727173762]"
8,6,168.78738686567038,[]
9,7,173.92749948867672,[0.01275015325232778]
10,8,181.35124408069495,[0.017168865028630804]
11,9,177.27036557616654,"[0.001444120470606553, 0.001151329426040332]"
12,10,178.19314489644913,"[0.0049794903027647166, 0.00424374711145176, 0.003262375378745786]"
13,11,174.77462053637896,[]
14,12,171.31149375252784,"[0.005211024757855657, 0.004927825943539156, 0.004661953678130662]"
15,13,180.2943843630986,"[0.00700987922513837, 0.006030914786778349]"
16,14,169.56222181664234,[0.008426858249151984]
17,15,184.55005558709823,[0.01703016698360443]
18,16,174.8678682873961,[]
19,17,176.52644364632104,"[0.0016184690235908396, 0.0015495303711691253]"
20,18,173.30644498313856,"[0.004852547839059141, 0.0030802190920151368]"
21,19,170.56696909020948,"[0.005100641120425217, 0.0043256530231761]"
1,clientid,distance,error
2,0,168.2594959959101,"[0.01602144706652284, 0.01342091576543526, 0.012299704115237977, 0.011010525265634901]"
3,1,174.37781668656552,"[0.0032877288866364276, 0.002565979936416858]"
4,2,181.07903904559686,"[0.03560168344294652, 0.005802419957472011, 0.00485076765413396, 0.00436616288672667]"
5,3,175.4636486445999,"[0.01492205200248335, 0.012007413621694763]"
6,4,166.78258478912414,"[0.0069044733448683825, 0.006332380070730331]"
7,5,176.74105245269047,"[0.001776145176971961, 0.0010922911817421706]"
